listing_id,id,date,reviewer_id,reviewer_name,comments
2992450,15066586,2014-07-01,16827297,Kristen,"Large apartment; nice kitchen and bathroom. Kenneth left drinks for us which was so nice. His cousin lives upstairs, and she was very nice and helpful, too. The internet only worked about half the time, and everything on the street can be heard from the main bedroom. Wonderful stay- it was exactly what we needed. It is not in the best area of town, but I never felt unsafe. "
2992450,21810844,2014-10-24,22648856,Christopher,"This may be a little late, but just to say Kenneth was quick to respond to our request. He left some supplies in the refrigerator and kindly showed us round downtown Albany. We were without a car and he arranged for his cousin Kristina to take us to  supermarket.<br/>The apartment is large, clean with many original features. It is situated in an historical area that is fairly central, although like the rest of Albany you have to climb a steep hill to get to it if you are on foot. <br/>"
2992450,27434334,2015-03-04,45406,Altay,"The apartment was very clean and convenient to downtown. One thing to keep in mind: one bedroom is huge and the other is tiny, so if you're traveling with a friend you might have to flip a coin. :)"
2992450,28524578,2015-03-25,5485362,John,"Kenneth was ready when I got there and arranged for the upstairs neighbor to meet me at the door with the keys.  Shortly after that I was left on my own in the privacy of this large 2 BR apartment - just like I like it.   I really like my privacy and there was no time at which anyone came to visit me or bother me unannounced.  At one point Kenneth had to pic up a refrigerator stored in the apartment, but the neighbor lady gave me plenty of notice and I was on my way out before he got there.  When I returned the extra refrigerator was gone and I had the nice quiet apartment to myself.  At one point I went to take a shower and found some body wash in a drawer.  That was nice since all I brought with me was shampoo.    The apartment is a city street apartment meaning that like many two family homes the BR window is feet away from the public sidewalk and you can hear people all hours of the night walking by and conversing, but its not terribly disruptive.  Overall the apartment was just what I needed and I had an enjoyable time while there.  The heat worked perfectly and the apartment was picked up.  The bed was a king size and very comfortable with sensible pillows and coverings.  The water pressure on the shower was awesome."
2992450,35913434,2015-06-23,15772025,Jennifer,"We were pleased to see how 2nd Street and the Ten Broeck neighborhood in Albany have come along. Its great to see all of the gorgeous brownstones, including the one we stayed in, being renovated and cared for.<br/>In terms of quality, I was pleased by the courtesy of the host's friend who lived nearby. He was there to let us in and make sure I knew to call with any problems. With a full kitchen and two bedrooms, my daughter and I felt at home with plenty of space. As a native of Albany I'm used to thin windows and occasionally noisy neighbors. If you don't sleep well, don't take the master bedroom and be aware that loud music may be playing during the evening and weekend. But there is a fan/ac unit to drown out the din from the street.<br/>This space has been renovated and a vast improvement I'm sure from where it was, and I'm hoping progress will continue here as it seemed a few projects were incomplete. I would have loved to enjoy more sunlight in the house but there was a ton of tree debris in the back yard so there was no way to enjoy opening the windows.<br/>On my own, this place was fine, but if traveling with my child again I will probably pick a quieter location where I'd be able to open windows or put her down for a nap without worrying about excessive noise."
2992450,38893053,2015-07-19,11614467,Stephanie,"The flat is not in a good area, while we were fine you do have to be careful (even our cab driver told us that) I wouldn't stay again. The flat also does not have air con- the large bedroom had an obnoxiously loud fan which kept the one room cool, the rest of the house is very hot. So if you are going to stay here bear these things in mind. "
2992450,57989144,2015-12-31,28580637,Betty,"The apartment was centrally located near all the night life in Albany, ideally suited to the age profile of my 2 sons who stayed their. ... We had initial difficulty in contacting the host...until we used my son who lives in Albany to be the contact, as we were relying on internet connection where ever we found free wifi..as roaming charges for international tourists is prohibitive. He went to the apartment a few times on the day we were yo arrive into JFK bit could not gain access...he was trying to get key so that he could leave basic provisions for us there. He eventually got an answer to the door bell..late evening.  The apartment was adequate for them as they spent most of their time with their brother who lives in Albany. They did say that the apartment was way too warm, and they could not see where to set the heating. One of the windows was broken but had plastic/perspex over it. The furniture was of a good enough standard but the couch was a little shabby and their was a musty smell from it. Other than those  facts they said the place was ideal for them and the contact person was very obliging considering they locked themselves out once and needed access ."
2992450,457366954464901293,2021-09-22,413779309,Carolina,The place is clean and the host is very nice
2992450,695544085190177036,2022-08-17,19928494,Kyle,It was much dirtier in person and half the furniture was broken. Hopefully the host can fix these issues because the apartment could be nice if it is cleaned up correctly and furnished with items that weren’t all broken such as the Tv being propped up on a table with two screws.
3820211,17665203,2014-08-15,11024290,Abigail,We had a marvelous time staying at Terra's beautiful apartment in downtown Albany.  The location was perfect and the apartment was just splendid.  Terra was very responsive to our inquiries and flexible.  Could not have been happier.
3820211,18213336,2014-08-23,2698205,Beth,Terra was super welcoming and accommodating! Apartment was as pictured and the center square neighborhood is just steps outside your door - as is a bus stop to help you get around the city if you are visiting without a car. If you are a light sleeper you might want to bring ear plugs to dampen the possible noise from the outdoor space at the bar in back of the apartment. Other than that- it was a good central spot to spend a night or two in town. 
3820211,18641356,2014-08-29,16365680,Carlos,"Muy bien ubicado, limpio y acogedor. Es una antigua comisaría de policía."
3820211,18776733,2014-08-31,17492601,Rory Adele,"Our original plans for a place to stay fell through at 11pm the night before we were due to leave. Terra was more than accommodating and I woke up in the morning to see that she had accepted our request for the next day! <br/><br/>The apartment was in a great location, very nicely presented and really home-y! Throughout our short stay Terra checked in a few times to see if we had any questions or if there was anything we needed, which was very appreciated. <br/><br/>Since this was the most seamless and convenient booking we've ever dealt with we are already hoping that we'll be able to stay again when we have future events in the area! "
3820211,19110185,2014-09-06,19139729,Harriett Jordan,"Terra was a great host, super informative, and flexible with our arrival time.  The place has been newly renovated and was really stunning. We were in walking distance from a great sushi place and a really beautiful dog park.  My boyfriend and I enjoyed the urban setting and had a blast!  I would remind future guests that this is an urban apartment and next door is a restaurant/ bar."
3820211,19235465,2014-09-08,6487329,Merijn,"The place is even bigger than on the photos. Terra was real easy to communicate with. The location is great, near restaurants and bars. We had a good time there."
3820211,19761821,2014-09-17,21319938,Matt,"Unfortunately I could only stay for one night but Terra was an extremely accommodating host. She met me to exchange the keys with just short notice ahead of time by text and was very nice. The apartment was clean, spacious and updated. Also, the neighborhood with a multitude of bars and restaurants was great. I would highly recommend Terra and her executive suite."
3820211,19835853,2014-09-19,17274817,Shahadat,"Our very short stay at Terra's was very nice. She was accommodating and nice. We really liked the place, and the reserved parking was super helpful."
3820211,20512666,2014-09-30,1771665,Susan,"This is a cute little place in the middle of the city that blends historic & modern touches.  The historic building is very cool & still has fixtures from when it was a police precinct.  That there is off-street parking is a big plus. The neighborhood is quite walkable & there's lots of little restaurants.  The Capital District has many activities: parks, the Hudson River, Erie Canal & the Baseball Hall of Fame is a nice day trip. Being that it is in the middle of the city, there is the typical city noise & a bar next door so if you are a light sleeper, that may be a consideration.  Terra was very easygoing & as helpful as we needed. They even came by and installed an extra bar to hang clothes on in the closet.<br/>The kitchen was well appointed as well as the bath. "
3820211,20622110,2014-10-02,5197373,Adrienne,"The apartment was clean, nice & convenient. I felt safe & was able to walk wherever I needed to. <br/>Terra was a good host & was there to meet me on time & was extremely flexible. I will stay here again the next time I'm in Albany!"
3820211,20703385,2014-10-04,4015110,Xavier,"Terra was an excellent host. Easily accessible if needed. extremely nice place and very convenient. Next to transportation, food, and much more amenities nearby. "
3820211,21040844,2014-10-10,17457569,Phil,"We had a marvelous stay, and Terra was a very accommodating host. The apartment was quite spacious, and we could't have wanted a more convenient location. We were delighted to find a bookshelf with books and DVDs that we could use, and the kitchen had everything that we needed for breakfast. Terra promptly remediated our few, minor complaints: nighttime noise from a neighboring business and weak WiFi signal in the living area. We would certainly stay there again and recommend it to others."
3820211,21138885,2014-10-12,1301177,Jeff,"Very comfortable apartment and super central to all the shops and restaurants on Lark St. Terra was great - responsive, friendly and flexible. After she showed us around the apartment, she even left us a bottle of wine that she had just opened up! Would recommend to visitors to the Capital Region."
3820211,21329373,2014-10-14,8115792,Kelly Corrine,"Terra was awesome! She is very accommodating, sincere and helpful. I had some unexpected changes in my travel plans and she was incredibly understanding and helpful, which to me means a lot. The apartment itself is awesome. Comfy, cozy and cute. I enjoyed walking around the corner to a great coffee shop and a great place with smoothies and green juices. I recommend this place for anyone considering, the owner will surely make you feel at home."
3820211,21735389,2014-10-22,228283,Stefan,"Terra's apartment is in a great location of Albany, bars, restaurants and coffee shops are within walking distance. The apartment is in a renovated building which used to be a police headquarters so the rooms have high ceilings which give them a lofty feel. The living area is spacious and there's a large kitchen area with breakfast bar. What I liked most about the apartment was the comfy bed. Terra was very friendly and check-in was no problem, unfortunately I didn't get to meet her in person. Remember that this apartment is not on a quiet residential street - but you get free off street parking and you can enjoy downtown on foot without having to worry about driving. "
